%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.D4,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
1504235170511110994,11015,1504235170473620773,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170557523813,11016,1504235170540239917,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170634335911,11017,1504235170606935102,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170715198972,11018,1504235170673549923,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170757779629,11019,1504235170740297504,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170828632703,11020,1504235170806863420,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170911624864,11021,1504235170873572511,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235170957724925,11022,1504235170940222176,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235171035261185,11023,1504235171006855226,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235171116589346,11024,1504235171073537234,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235171161565769,11025,1504235171140246117,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
